Nombres élèves;Nombres profs;surveillant ;Personnels;Admin;;;
600;50;7;10;4;;;
;;;;;;;
Salle;Nombre d'ordinateur Profs;Nombres d'ordinateur élèves;Nombres ordinateur sureveillant;Nombre d'ordinateur Personels;Admin;Imprimante ;Tel
Techno;2;24;0;0;0;2;0
Svt;2;24;0;0;0;1;0
PC;2;24;0;0;0;1;0
Art;1;20;0;0;0;1;0
Personels;0;0;0;10;0;2;6
Prof;15;0;0;0;0;2;0
Perm;1;0;1;0;0;0;0
Cdi;1;10;0;0;0;1;0
Cantine;1;0;0;0;0;0;0
Maths;2;24;0;0;0;0;0
Classique;24;0;0;0;0;0;0
Admin;0;0;0;0;4;2;2
;50;;1;;;;
;Nombre machine réseaux élèves;Nombres machine réseaux prof/ surveillant;Nombre machine réseaux Personnels;Nombre machine réseaux Admin;Nombre machine résaux imprimante/tel;zone morte;Totale
Nombre;126;51;10;4;20;1;212
Plage ip;;;;;;;
